,08P,10-12D,10AG,10C,10G,10SoS,10T,12P,12S,Mean,Standard Deviation,mean,sem,R mean,R,B_GS,,,
,,,,,,,,,,,std,,,,SEM,,SEM,,
0.685,0.957095,0.958274,0.988373,0.958467,0.975663,0.964407,0.961764,0.937067,0.934971,0.959564555555555,0.0167232063919506,0.959564555555555,0.00557440213065019,0.985563,0.0034496079809483,0.487000777777778,0.00451200505579924,,
0.69,0.965382,0.967314,0.991713,0.967393,0.981828,0.972638,0.9704,0.948473,0.946752,0.967988111111111,0.0142357996214161,0.967988111111111,0.00474526654047203,0.988978,0.00292636356156313,0.489505055555556,0.00383581505101758,,
0.695,0.97259,0.974973,0.994233,0.975024,0.986753,0.979466,0.977626,0.958709,0.95734,0.975190444444444,0.0118196742458402,0.975190444444444,0.00393989141528006,0.991745222222222,0.00242585666871736,0.491722611111111,0.00318287404199871,,
0.7,0.978732,0.98129,0.996083,0.981359,0.99058,0.984973,0.983504,0.967661,0.966604,0.981198444444444,0.00956232290177327,0.981198444444444,0.00318744096725776,0.993939888888889,0.00196253801410065,0.493629277777778,0.0025749894906792,,
0.705,0.983852,0.986358,0.997406,0.986457,0.993471,0.989286,0.988149,0.975278,0.974488,0.986082777777778,0.00753081461028251,0.986082777777778,0.00251027153676084,0.995642555555556,0.00154757280488504,0.495220111111111,0.00202892217082294,,
0.71,0.988021,0.990309,0.998325,0.990433,0.995593,0.992564,0.991711,0.981578,0.981005,0.989948777777778,0.00576741707304447,0.989948777777778,0.00192247235768149,0.996933444444444,0.00118802493790594,0.496507666666667,0.00155524864779372,,
0.715,0.99133,0.993299,0.998947,0.993435,0.997105,0.994981,0.994361,0.986635,0.986233,0.992925111111111,0.00429122769276011,0.992925111111111,0.00143040923092004,0.997890333333333,8.86734709168669E-4,0.497517388888889,0.00115857197004435,,
0.72,0.993887,0.995495,0.999355,0.995627,0.998151,0.996707,0.996272,0.990572,0.990299,0.995151666666667,0.00309845005607644,0.995151666666667,0.00103281668535881,0.998582333333333,6.42801053549576E-4,0.498284666666667,8.37808869454194E-4,,
0.725,0.995808,0.997057,0.999616,0.997174,0.998852,0.997903,0.997606,0.993541,0.993361,0.996768666666667,0.00216897902248958,0.996768666666667,7.22993007496527E-4,0.999070111111111,4.52007480408985E-4,0.498849277777778,5.87500243952756E-4,,
0.73,0.997207,0.998134,0.999778,0.99823,0.999308,0.998703,0.998509,0.995707,0.995592,0.997907555555556,0.00147073715455133,0.997907555555556,4.90245718183777E-4,0.999405777777778,3.08013337453726E-4,0.499250888888889,3.99129527818751E-4,,
0.735,0.998195,0.998853,0.999875,0.998926,0.999595,0.999223,0.999099,0.997235,0.997163,0.998684888888889,9.6504073028609E-4,0.998684888888889,3.21680243428697E-4,0.999630111111111,2.03122325243548E-4,0.499527388888889,2.62401284336122E-4,,
0.74,0.99887,0.999316,0.999931,0.999369,0.99977,0.999548,0.999472,0.998276,0.998233,0.999198333333333,6.11770586085951E-4,0.999198333333333,2.03923528695317E-4,0.999776222222222,1.29573528865722E-4,0.499711055555556,1.6674852878052E-4,,
0.745,0.999315,0.999606,0.999964,0.999641,0.999873,0.999746,0.999701,0.99896,0.998935,0.999526777777778,3.7500925914494E-4,0.999526777777778,1.25003086381647E-4,0.999868444444444,7.9872313224002E-5,0.499829166666667,1.02437699802824E-4,,
0.75,0.999599,0.99978,0.999981,0.999803,0.999932,0.999861,0.999836,0.999393,0.999379,0.999729333333333,2.21911581491379E-4,0.999729333333333,7.39705271637929E-5,0.999924888888889,4.74764399010605E-5,0.499902222222222,6.07234835324267E-5,,
