,04P,08A,08AG,08G,08P,08S,08SoS,08T,10S,12A,12D,12G,12P,12Sos,12T,Mean,Standard Deviation,mean,SEM,R,R,B_GS,sem
,,,,,,,,,,,,,,,,,,,,mean,sem,,
,,,,,,,,,,,,,,,,"Statistics On Rows of [NC S/V]Sheet1!Col(""04P""):Col(""12T"")","Statistics On Rows of [NC S/V]Sheet1!Col(""04P""):Col(""12T"")",,,,,,
0.53,0.491647,0.416418,0.504748,0.481803,0.383675,0.415317,0.446802,0.412975,0.43679,0.389508,0.377583,0.404636,0.376048,0.381474,0.386871,0.420419666666667,0.0431069533314964,0.420419666666667,0.0111301674905751,0.748488933333333,0.00396087335302836,0.335965366666667,0.0150910408436034
0.535,0.530387,0.441681,0.530995,0.509469,0.414064,0.442239,0.473658,0.438499,0.472522,0.407499,0.406749,0.435867,0.404903,0.403706,0.408931,0.448077933333333,0.0454058825444248,0.448077933333333,0.0117237484609605,0.752788133333333,0.00341879092365745,0.3476449,0.0151425393846179
0.54,0.570647,0.475298,0.557706,0.538569,0.447586,0.470944,0.501649,0.471189,0.510716,0.43026,0.438995,0.46969,0.436849,0.430657,0.434912,0.479044466666667,0.0469861286367228,0.479044466666667,0.0121317662475191,0.7563352,0.00291211063892382,0.361354633333333,0.015043876886443
0.545,0.611743,0.511451,0.584674,0.568778,0.483908,0.504105,0.530518,0.507696,0.5508,0.457994,0.474039,0.505716,0.471623,0.46407,0.467624,0.5129826,0.0473980856421739,0.5129826,0.0122381330889502,0.759262533333333,0.00244264067463817,0.376860033333333,0.0146807737635883
0.55,0.652941,0.54938,0.611693,0.599705,0.522563,0.544497,0.55999,0.545959,0.592098,0.488282,0.511471,0.543459,0.508827,0.499885,0.502647,0.548893133333333,0.0472926519660397,0.548893133333333,0.0122109102308303,0.761694933333333,0.00201236205079803,0.3935991,0.0142232722816284
0.555,0.693501,0.588531,0.638563,0.630919,0.562962,0.586268,0.589776,0.585387,0.633868,0.520896,0.550763,0.582354,0.547945,0.537646,0.539568,0.5859298,0.0467637500592072,0.5859298,0.012074348345701,0.763750333333333,0.00162573280961355,0.411089733333333,0.0137000811553146
0.56,0.732716,0.628278,0.665092,0.661966,0.604416,0.62865,0.619588,0.625334,0.675341,0.555494,0.59129,0.621783,0.588358,0.576805,0.577879,0.623532666666667,0.045840765346183,0.623532666666667,0.0118360347175446,0.7655406,0.00129569208129239,0.428996033333333,0.013131726798837
0.565,0.769947,0.667962,0.6911,0.692393,0.646176,0.670836,0.649142,0.665129,0.715759,0.591628,0.632354,0.661101,0.629376,0.616736,0.616998,0.661109133333333,0.0445698567145148,0.661109133333333,0.0115078875198778,0.767173466666667,0.00105950544557654,0.446967833333333,0.0125673929654543
0.57,0.804655,0.706918,0.716422,0.721771,0.687469,0.71203,0.681598,0.704105,0.754421,0.628761,0.673227,0.699673,0.670269,0.656772,0.656295,0.6982924,0.0429068255372699,0.6982924,0.0110784947162982,0.768768866666667,9.92349995221381E-4,0.464761766666667,0.0120708447115196
0.575,0.836425,0.744506,0.740913,0.749725,0.727542,0.751487,0.7179,0.74164,0.790719,0.666289,0.713182,0.736899,0.710306,0.696233,0.695118,0.734592266666667,0.0407950630302013,0.734592266666667,0.0105332399815634,0.770438066666667,0.00115214785123747,0.4820771,0.0116853878328009
