,04P,06AG,06G,06SoS,08P,08S,10-12D,10AG,10G,10S,10SoS,12P,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,
,,,,,,,,,,,,,,SD,,SEM,,SEM,,SEM
0.635,0.953989,0.949297,0.912751,0.97012,0.932239,0.925204,0.954635,0.974908,0.952478,0.947377,0.952138,0.942319,0.947287916666667,0.017501220276719,0.947287916666667,0.00505216711895534,0.936226083333333,0.00529852188144548,0.505530916666667,0.00517534450020041
0.64,0.964039,0.959036,0.925982,0.977368,0.945615,0.938998,0.964737,0.981119,0.962771,0.958503,0.962527,0.954571,0.957938833333333,0.0153367545685836,0.957938833333333,0.00442733968933348,0.9460995,0.00490813841846871,0.505919666666667,0.00466773905390109
0.645,0.972438,0.967513,0.938307,0.983189,0.957186,0.951187,0.973129,0.986061,0.9714,0.967909,0.971238,0.96492,0.96703975,0.0131595567563169,0.96703975,0.00379883681783787,0.95521825,0.00444134229492412,0.50591075,0.00412008955638099
0.65,0.979294,0.974731,0.949542,0.987758,0.96696,0.961704,0.979935,0.989907,0.978466,0.975677,0.978369,0.973455,0.974649833333333,0.0110458650661959,0.974649833333333,0.00318866658470024,0.963469416666667,0.00392251218098488,0.505590208333333,0.00355558938284256
0.655,0.984761,0.980736,0.959548,0.991263,0.975021,0.970563,0.985325,0.992835,0.984116,0.981939,0.984065,0.980326,0.980874833333333,0.00906259158031053,0.980874833333333,0.00261614484422396,0.970771833333333,0.00337867617035747,0.5050515,0.00299741050729072
0.66,0.989016,0.985616,0.968246,0.993892,0.981508,0.977843,0.989491,0.995015,0.988526,0.986867,0.988507,0.985724,0.98585425,0.00726224723703469,0.98585425,0.0020964301986118,0.977085083333333,0.00283683236027048,0.504384583333333,0.00246663127944114
0.665,0.992249,0.989487,0.975616,0.995817,0.986602,0.983678,0.992633,0.996601,0.991887,0.990653,0.991887,0.989863,0.98974775,0.00567995877265765,0.98974775,0.00163966286318993,0.982411166666667,0.00232051210333348,0.503668291666667,0.00198008748326171
0.67,0.994648,0.992482,0.981699,0.997195,0.990504,0.988239,0.994947,0.99773,0.994386,0.993491,0.994396,0.992957,0.992722833333333,0.00433323924256824,0.992722833333333,0.00125089842157991,0.986792666666667,0.00184849320427818,0.502965083333333,0.00154969581292905
0.675,0.996384,0.994744,0.986585,0.998159,0.993418,0.991714,0.996609,0.998516,0.9962,0.995566,0.996214,0.995215,0.994943666666667,0.00322302019098781,0.994943666666667,9.30405787435206E-4,0.990304916666667,0.00143354995081786,0.502319375,0.00118197786912653
0.68,0.997611,0.996408,0.990403,0.998817,0.99554,0.994295,0.997775,0.99905,0.997484,0.997046,0.997498,0.996821,0.996562333333333,0.00233579312336331,0.996562333333333,6.74285394272543E-4,0.993046916666667,0.00108193999062244,0.501757708333333,8.7811269244749E-4
